Starting...
2023-08-23 20:45:42.226 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:42.569 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:42.64 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:42.861 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:42.983 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:43.057 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:43.347 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:43.478 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:43.612 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:43.892 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:44.028 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:44.199 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:44.311 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:44.457 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:44.777 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:45.169 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:45.417 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:45.577 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:45.761 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:45.837 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:45.974 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:46.253 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:46.39 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:46.543 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:46.674 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:46.805 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:46.956 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:47.091 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:47.233 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:47.959 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:48.215 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:48.333 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:48.489 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:48.627 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:48.753 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:48.898 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:45:49.036 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:39.172 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:39.312 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:39.459 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:39.592 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:39.734 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:39.891 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:40.009 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:40.141 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:40.283 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:40.728 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:40.885 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:40.983 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:41.12 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:41.293 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:41.944 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:41.966 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:42.091 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:42.241 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:42.375 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:42.535 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:42.658 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:42.805 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:42.926 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:43.077 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:43.211 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:43.344 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:43.497 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:43.787 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:43.97 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:44.044 +0000 UTC | LIDAR | SUCC 
